Label	InputSMILES	CID	InChIKey	IUPACName	ResolveError	MentionCount	SourceType	Database	Query	MatchMode	Confidence	Title	Year	ReferenceID	URL	AuthorsOrAssignee	JournalOrPublication	Snippet	Category
WX602071	Nc1ccccc1-n1cccn1	2779710	UIYKQBXRFZCXFX-UHFFFAOYSA-N	2-pyrazol-1-ylaniline		1	paper	Europe PMC	"""2-pyrazol-1-ylaniline"""	exact_name	medium	Optimization and Characterization of the Antimalarial Activity of &lt;i&gt;N&lt;/i&gt;-Aryl Acetamides that are Susceptible to Mutations in ROM8 and CSC1.	2025	40680058	https://doi.org/10.1021/acs.jmedchem.5c01471	Nguyen W, Boulet C, Dans MG, Loi K, Jarman KE, Barnes CBG, Yeo T, Sheth T, Mukherjee P, Chakraborty A, Famodimu MT, Delves MJ, Pollard H, Sutherland CJ, Coyle R, Sevilleno N, Boonyalai N, Lee MCS, Rabie T, Birkholtz LM, Baud D, Brand S, Chowdury M, de Koning-Ward TF, Fidock DA, Gilson PR, Sleebs BE.	J Med Chem		papers_only
WX602089	Cc1cc(F)cc([N+](=O)[O-])c1N	10374842	RQJZBCXRJPJGGV-UHFFFAOYSA-N	4-fluoro-2-methyl-6-nitroaniline		1	paper	Europe PMC	"""4-fluoro-2-methyl-6-nitroaniline"""	exact_name	medium	Antimicrobial Efficacy of Trifluoro-Anilines Against <i>Vibrio</i> Species.	2025	39859338	https://doi.org/10.3390/ijms26020623	Sathiyamoorthi E, Boya BR, Lee JH, Lee J.	Int J Mol Sci		papers_only
WX602105	COc1cccc(-c2cc(=O)c3ccccc3o2)c1N	4713	QFWCYNPOPKQOKV-UHFFFAOYSA-N	2-(2-amino-3-methoxyphenyl)chromen-4-one		5	paper	Europe PMC	"""2-(2-amino-3-methoxyphenyl)chromen-4-one"""	exact_name	medium	2-Phenylnaphthalene Derivatives Inhibit Lipopolysaccharide-Induced Pro-Inflammatory Mediators by Downregulating of MAPK/NF-κB Pathways in RAW 264.7 Macrophage Cells.	2017	28060845	https://doi.org/10.1371/journal.pone.0168945	Chang CF, Liao KC, Chen CH.	PLoS One		papers_only
WX602105	COc1cccc(-c2cc(=O)c3ccccc3o2)c1N	4713	QFWCYNPOPKQOKV-UHFFFAOYSA-N	2-(2-amino-3-methoxyphenyl)chromen-4-one		5	paper	Europe PMC	"""2-(2-amino-3-methoxyphenyl)chromen-4-one"""	exact_name	medium	Dynamic Regulation of Homer Binding to Group I Metabotropic Glutamate Receptors by Preso1 and Converging Kinase Cascades.	2017	28179473	https://doi.org/10.1124/jpet.116.238394	Hu JH, Worley PF, Kammermeier PJ.	J Pharmacol Exp Ther		papers_only
WX602105	COc1cccc(-c2cc(=O)c3ccccc3o2)c1N	4713	QFWCYNPOPKQOKV-UHFFFAOYSA-N	2-(2-amino-3-methoxyphenyl)chromen-4-one		5	paper	Europe PMC	"""2-(2-amino-3-methoxyphenyl)chromen-4-one"""	exact_name	medium	Role of c-Jun-N-Terminal Kinase in Pregnane X Receptor-Mediated Induction of Human Cytochrome P4503A4 In Vitro.	2018	29440179	https://doi.org/10.1124/dmd.117.079160	Taneja G, Chu C, Maturu P, Moorthy B, Ghose R.	Drug Metab Dispos		papers_only
WX602105	COc1cccc(-c2cc(=O)c3ccccc3o2)c1N	4713	QFWCYNPOPKQOKV-UHFFFAOYSA-N	2-(2-amino-3-methoxyphenyl)chromen-4-one		5	paper	Europe PMC	"""2-(2-amino-3-methoxyphenyl)chromen-4-one"""	exact_name	medium	Anaplastic Lymphoma Kinase Regulates Internalization of the Dopamine D2 Receptor.	2020	31734646	https://doi.org/10.1124/mol.119.117473	He D, Lasek AW.	Mol Pharmacol		papers_only
WX602105	COc1cccc(-c2cc(=O)c3ccccc3o2)c1N	4713	QFWCYNPOPKQOKV-UHFFFAOYSA-N	2-(2-amino-3-methoxyphenyl)chromen-4-one		5	paper	Europe PMC	"""2-(2-amino-3-methoxyphenyl)chromen-4-one"""	exact_name	medium	AMPK decreases ERK1/2 activity and cancer cell sensitivity to nutrition deprivation by mediating a positive feedback loop involving eEF2K.	2020	32565934	https://doi.org/10.3892/ol.2020.11554	Tong S, Zhou T, Meng Y, Xu D, Chen J.	Oncol Lett		papers_only
WX602139	Nc1ccc(OCc2cccc(F)c2)c(Cl)c1	7059263	AYPFEYDGZDPAPE-UHFFFAOYSA-N	3-chloro-4-[(3-fluorophenyl)methoxy]aniline		1	paper	Europe PMC	"""3-chloro-4-[(3-fluorophenyl)methoxy]aniline"""	exact_name	medium	Process for preparing lapatinib synthetic intermediate	2009	CN101575319	https://europepmc.org/article/PAT/CN101575319	FEI LI, WUWEI WANG, XING JI, GUANHONG XU, XIAOJIA YIN, XU SUN.	PAT		papers_only
WX602162	Nc1cc(Cl)cc(Br)c1	3084709	YYBRLVWWPRAQDX-UHFFFAOYSA-N	3-bromo-5-chloroaniline		4	paper	Europe PMC	"""3-bromo-5-chloroaniline"""	exact_name	medium	[1,2,4]triazolo[4,3-a]phthalazines: inhibitors of diverse bromodomains.	2014	24313754	https://doi.org/10.1021/jm401568s	Fedorov O, Lingard H, Wells C, Monteiro OP, Picaud S, Keates T, Yapp C, Philpott M, Martin SJ, Felletar I, Marsden BD, Filippakopoulos P, Müller S, Knapp S, Brennan PE.	J Med Chem		papers_only
WX602162	Nc1cc(Cl)cc(Br)c1	3084709	YYBRLVWWPRAQDX-UHFFFAOYSA-N	3-bromo-5-chloroaniline		4	paper	Europe PMC	"""3-bromo-5-chloroaniline"""	exact_name	medium	Species-Selective Pyrimidineamine Inhibitors of Trypanosoma brucei S-Adenosylmethionine Decarboxylase.	2018	29271204	https://doi.org/10.1021/acs.jmedchem.7b01654	Volkov OA, Brockway AJ, Wring SA, Peel M, Chen Z, Phillips MA, De Brabander JK.	J Med Chem		papers_only
