smiles	catalog_id	found_in_enaminestore
C#CCCC1(CCC(=O)N2CCN(Cc3cc(F)ccc3OC)CC2)N=N1	Z2866903174	yes
C#CCCC1(CCC(=O)N[C@@H]2C[C@H]2c2cnn(C)c2C)N=N1	Z2866903178	yes
C#CCCC1(CCC(=O)N2CC(c3ccccc3)C3(CCC3)C2)N=N1	Z2866903181	yes
C#CCCC1(CCC(=O)N2CCc3c2cccc3C(F)(F)F)N=N1	Z2866903187	yes
C#CCCC1(CCC(=O)Nc2ncn(CC(=O)N3CCCCCC3)n2)N=N1	Z2866903189	yes
C#CCCC1(CCC(=O)NC2CCN(c3nccn(CC)c3=O)CC2)N=N1	Z2866903203	yes
C#CCCC1(CCC(=O)NC2CCN(C(=O)c3ccccc3F)CC2)N=N1	Z2866903206	yes
C#CCCC1(CCC(=O)N2CCCC2c2ncccn2)N=N1	Z2866903211	yes
C#CCCC1(CCC(=O)NCc2ncc3c(n2)CCC3)N=N1	Z2866903215	yes
C#CCCC1(CCC(=O)N[C@@H]2C[C@H]2c2ccc(Cl)c(F)c2)N=N1	Z2866903218	yes
C#CCCC1(CCC(=O)Nc2cc3c(cc2Cl)OCCO3)N=N1	Z2866903225	yes
C#CCCC1(CCC(=O)N2CC(c3cnn(C)c3)C3(CCOCC3)C2)N=N1	Z2866903231	yes
C#CCCC1(CCC(=O)N2CCC(c3ccncc3)C2)N=N1	Z2866903236	yes
C#CCCC1(CCC(=O)NC[C@@H]2C[C@H]2c2cccnc2)N=N1	Z2866903238	yes
C#CCCC1(CCC(=O)Nc2nc(C3CCOCC3)cs2)N=N1	Z2866903240	yes
C#CCCC1(CCC(=O)N2CCCC(c3nnc4n3CCCCC4)C2)N=N1	Z2866903245	yes
C#CCCC1(CCC(=O)NCc2nnc3n2CCCC3C(F)(F)F)N=N1	Z2866903259	yes
C#CCCC1(CCC(=O)NCc2cc(Cl)cc3c2OCC3)N=N1	Z2866903265	yes
C#CCCC1(CCC(=O)N2CCC(N3CCCNC3=O)CC2)N=N1	Z2866903269	yes
C#CCCC1(CCC(=O)N2C[C@@H](OC)C[C@@H]2c2nc(C)no2)N=N1	Z2866903275	yes
C#CCCC1(CCC(=O)N2CCC(C(=O)O)(C(F)(F)F)C2)N=N1	Z2866903281	yes
C#CCCC1(CCC(=O)N2CCCC(CNC(=O)c3ccccc3)C2)N=N1	Z2866903314	yes
C#CCCC1(CCC(=O)N2CCN(C(=O)Cc3ccccc3C)CC2)N=N1	Z2866903316	yes
C#CCCC1(CCC(=O)NCC2CCN(C(=O)c3ccccc3)CC2)N=N1	Z2866903318	yes
C#CCCC1(CCC(=O)N2CCCN(C(=O)c3cccc(C)c3)CC2)N=N1	Z2866903320	yes
C#CCCC1(CCC(=O)Nc2cnn(Cc3nnc4n3CCCC4)c2)N=N1	Z2866903324	yes
C#CCCC1(CCC(=O)NC2(Cc3cccc(Cl)c3)CC2)N=N1	Z2866903331	yes
C#CCCC1(CCC(=O)N2CC(Cc3ccccc3Cl)C2)N=N1	Z2866903337	yes
C#CCCC1(CCC(=O)N2CCOCC2c2cccc(F)c2)N=N1	Z2866903346	yes
C#CCCC1(CCC(=O)N2CCc3cc(OC)c(F)cc3C2)N=N1	Z2866903348	yes
C#CCCC1(CCC(=O)N2CCC(n3cc(C(N)=O)nn3)C2)N=N1	Z2866903350	yes
C#CCCC1(CCC(=O)N2CCC3(CC2)COC3)N=N1	Z2866903354	yes
C#CCCC1(CCC(=O)Nc2cnn(C3CCN(C)CC3)c2)N=N1	Z2866903362	yes
C#CCCC1(CCC(=O)Nc2ccc3c(c2)CCC(=O)N3CC2CC2)N=N1	Z2866903373	yes
C#CCCC1(CCC(=O)N2CCN(Cc3nccn3C(F)F)CC2)N=N1	Z2866903375	yes
C#CCCC1(CCC(=O)NCc2nnc3ccc(C(F)(F)F)cn23)N=N1	Z2866903377	yes
C#CCCC1(CCC(=O)N2CCN(CC(N)=O)CC2)N=N1	Z2866903379	yes
C#CCCC1(CCC(=O)N2CCc3ccc(F)cc3C(C)C2)N=N1	Z2866903380	yes
C#CCCC1(CCC(=O)N2CCC(F)(c3ccccc3)CC2)N=N1	Z2866903381	yes
C#CCCC1(CCC(=O)NC2(Cc3cccc(F)c3)CCC2)N=N1	Z2866903382	yes
C#CCCC1(CCC(=O)NC2COc3cc(OC)ccc3C2)N=N1	Z2866903383	yes
C#CCCC1(CCC(=O)NCc2oc3ccc(F)cc3c2C)N=N1	Z2866903385	yes
C#CCCC1(CCC(=O)N2CCC(n3c(C)nc4ccccc43)CC2)N=N1	Z2866903388	yes
C#CCCC1(CCC(=O)N2CCCC2Cn2c(C)nc3ccccc32)N=N1	Z2866903389	yes
C#CCCC1(CCC(=O)N2Cc3ccccc3CC2c2nnc(C)o2)N=N1	Z2866903390	yes
C#CCCC1(CCC(=O)NCC2CC(=O)NC(C)C2)N=N1	Z2866903393	yes
C#CCCC1(CCC(=O)NC2CCN(c3ccc(Cl)c(F)c3)C2)N=N1	Z2866903403	yes
C#CCCC1(CCC(=O)Nc2ccc(-c3nnc4n3CCCC4)cc2)N=N1	Z2866903412	yes
C#CCCC1(CCC(=O)N2CCn3c(Cc4ccccc4)nnc3C2)N=N1	Z2866903418	yes
C#CCCC1(CCC(=O)NC2CCOC(c3ccccc3)C2)N=N1	Z2866903438	yes
C#CCCC1(CCC(=O)N2CCC(COc3ccccc3)C2)N=N1	Z2866903440	yes
C#CCCC1(CCC(=O)NC(C)C2Oc3ccccc3C2C)N=N1	Z2866903442	yes
C#CCCC1(CCC(=O)N2CCCC2Cc2c(F)cccc2Cl)N=N1	Z2866903452	yes
C#CCCC1(CCC(=O)Nc2ccc(-c3ncc4n3CCCC4)cc2)N=N1	Z2866903464	yes
C#CCCC1(CCC(=O)NC2c3ccccc3CCC2n2ccnc2)N=N1	Z2866903466	yes
C#CCCC1(CCC(=O)N2CCN(CC(=O)N3CCOCC3)CC2)N=N1	Z2866903468	yes
C#CCCC1(CCC(=O)N2CCC(N3CCC3)CC2)N=N1	Z2866903479	yes
C#CCCC1(CCC(=O)N[C@H]2C[C@@H](N3CCCC3)C2)N=N1	Z2866903485	yes
C#CCCC1(CCC(=O)N2CCN3CCOc4cccc2c43)N=N1	Z2866903500	yes
C#CCCC1(CCC(=O)Nc2cccc(-c3ccc4c(c3)CCO4)n2)N=N1	Z2866903512	yes
C#CCCC1(CCC(=O)N2CCCN(c3ccc(F)c(F)c3)CC2)N=N1	Z2866903529	yes
C#CCCC1(CCC(=O)NC2CCN(c3c(F)cccc3F)C2=O)N=N1	Z2866903539	yes
C#CCCC1(CCC(=O)N2CC(c3ccccc3)(C(C)C)C2)N=N1	Z2866903542	yes
C#CCCC1(CCC(=O)NCc2cnc(N3CCOCC3)c(F)c2)N=N1	Z2866903555	yes
C#CCCC1(CCC(=O)N2CCC(n3ccnn3)C2)N=N1	Z2866903559	yes
C#CCCC1(CCC(=O)NCCN2CCc3c(Cl)cccc3C2)N=N1	Z2866903566	yes
C#CCCC1(CCC(=O)N2CCNC(=O)C2c2ccccc2Cl)N=N1	Z2866903571	yes
C#CCCC1(CCC(=O)NCc2ccc3c(=O)cc[nH]c3c2)N=N1	Z2866903572	yes
C#CCCC1(CCC(=O)N(C)C[C@@H]2C[C@H](F)CN2c2ccncn2)N=N1	Z2866903580	yes
C#CCCC1(CCC(=O)N2CCN(c3c(F)cccc3OC)CC2)N=N1	Z2866903584	yes
C#CCCC1(CCC(=O)Nc2cnn(CC(=O)N3CCOCC3)c2)N=N1	Z2866903586	yes
C#CCCC1(CCC(=O)NC2(c3cncn3C)CC2)N=N1	Z2866903591	yes
C#CCCC1(CCC(=O)NC2(Cc3cccc(F)c3)CCOCC2)N=N1	Z2866903604	yes
C#CCCC1(CCC(=O)NC2(c3nc(C4CC4)no3)CCOCC2)N=N1	Z2866903609	yes
C#CCCC1(CCC(=O)NC[C@@H]2CCCN(C)[C@H]2c2ccnn2C)N=N1	Z2866903624	yes
C#CCCC1(CCC(=O)N2CCCN(Cc3nccn3CC)CC2)N=N1	Z2866903630	yes
C#CCCC1(CCC(=O)NC2CCCN(c3ccc(F)cc3C)C2)N=N1	Z2866903637	yes
C#CCCC1(CCC(=O)NC2CCCN(Cc3nccn3C)C2=O)N=N1	Z2866903651	yes
C#CCCC1(CCC(=O)N2CCC(NC(=O)c3ccoc3C)CC2)N=N1	Z2866903657	yes
C#CCCC1(CCC(=O)N2CCN(C(=O)c3cc(C)oc3C)CC2)N=N1	Z2866903660	yes
C#CCCC1(CCC(=O)N2CC3(CCOCC3)C2C(=O)O)N=N1	Z2866903665	yes
C#CCCC1(CCC(=O)N2CCN(c3cccc(OCC)n3)CC2)N=N1	Z2866903676	yes
C#CCCC1(CCC(=O)N2CCc3ncc(C)cc32)N=N1	Z2866903685	yes
C#CCCC1(CCC(=O)NC2CCN(c3cc(CC)ncn3)CC2)N=N1	Z2866903691	yes
C#CCCC1(CCC(=O)N2CCC(c3nnc4n3CCCC4)CC2)N=N1	Z2866903693	yes
C#CCCC1(CCC(=O)N2CCN(Cc3ccccc3OC)CC2)N=N1	Z2866903696	yes
C#CCCC1(CCC(=O)N2CCN(c3ccc(C(N)=O)cn3)CC2)N=N1	Z2866903699	yes
C#CCCC1(CCC(=O)N2CCN(c3ncccc3C(N)=O)CC2)N=N1	Z2866903702	yes
C#CCCC1(CCC(=O)Nc2ccc3c(c2)CCN3C(=O)COC)N=N1	Z2866903705	yes
